,K006-1,K006-2,K006-3,K006-4,K007-1,K007-2,K007-3,K007-4,K008-1,K008-2,K008-3,K008-4,K009-1,K009-2,K009-3,K009-4,K010-1,K010-2,K010-3,K010-4,K011-1,K011-2,K011-3,K011-4,K012-1,K012-2,K012-3,K012-4,K013-1,K013-2,K013-3,K013-4,K014-1,K014-2,K014-3,K014-4,K015-1,K015-2,K015-3,K015-4
K008-3,-76.78296146044624,-74.42777777777778,-73.25859491778775,-69.1936,-66.06908665105387,-73.402124430956,-63.84199363732768,-66.50215208034433,-65.12753277711562,-71.35338345864662,-64.43487621097955,-59.69494290375204,-63.69122807017544,-62.70977011494253,-72.85763293310463,-62.9050505050505,-68.6910866910867,-66.46557759626604,-83.53472222222223,-51.10747957259585,-67.66945606694561,-47.60376282782212,-72.29110105580693,-68.71967213114755,-66.90425531914893,-63.88583509513742,-65.19883720930233,-64.71509009009009,-70.62096774193549,-62.27838104639684,-66.78756476683938,-64.6238425925926,-58.07791225416036,-66.38216560509554,-83.97872340425532,-64.0010905125409,-63.777222777222775,-64.01689189189189,-65.71348314606742,-70.46314325452016
K008-4,-69.625,-83.40186915887851,-75.9808362369338,-71.8696682464455,-65.78201058201059,-77.11284722222223,-63.79386385426654,-64.84102060843965,-56.51290760869565,-64.49056603773585,-67.09219088937093,-60.70425867507886,-64.10561370123692,-64.9599542334096,-72.26576576576576,-71.06826801517067,-66.44919278252611,-64.34631578947368,-78.39870689655173,-51.51686823679185,-74.66614906832298,-51.45576571079927,-80.30933333333333,-71.89391304347826,-77.36434108527132,-67.58971428571428,-67.54265402843602,-74.65335463258786,-73.72645739910314,-66.60275423728814,-71.2155388471178,-67.70230607966457,-55.49783013019219,-66.43390191897655,-86.95918367346938,-63.78239845261122,-65.88665997993982,-66.52597402597402,-68.8125,-69.02005012531329
K009-1,-70.95620437956204,-81.2741935483871,-75.56369982547993,-78.50862068965517,-71.38136826783115,-77.83403068340307,-67.12961011591149,-74.34722222222223,-67.61451247165533,-72.35244755244756,-75.8099173553719,-66.54347826086956,-59.933488012374326,-65.2557915057915,-68.21255060728745,-63.94189071986124,-58.48421759570181,-66.23628219484883,-71.56753407682776,-41.64615384615384,-76.94788273615636,-49.46993318485524,-80.12165450121654,-74.59116022099448,-75.97851002865329,-67.69491525423729,-66.65299684542586,-68.48812095032397,-71.65347721822542,-68.77543859649123,-67.56653225806451,-64.02859960552269,-60.52333588370314,-63.68283917340521,-81.38297872340425,-67.02944383860414,-60.76309616888194,-65.73997709049256,-69.02819237147595,-67.52173913043478
K009-2,-72.53615520282187,-76.4459234608985,-75.5639880952381,-78.2582056892779,-73.52373660030628,-81.90338164251207,-73.3089430894309,-63.558078602620085,-65.78767876787678,-69.62671660424469,-64.41388888888889,-69.45077105575326,-60.098765432098766,-62.530316742081446,-67.88901098901098,-60.3494837172359,-68.47005649717514,-67.30812013348165,-72.87354085603113,-45.17192147531232,-70.63665086887836,-51.83776414451261,-79.10917030567686,-70.49196141479099,-70.76683937823834,-68.36615044247787,-70.20998719590268,-70.8119658119658,-74.24309392265194,-74.94615384615385,-65.94730941704036,-68.27428571428571,-63.63905325443787,-62.059058260175576,-81.55357142857143,-61.59443990188062,-63.54827586206896,-62.02472089314195,-63.01672240802676,-65.44270323212537
K009-3,-78.49910873440285,-80.42056074766356,-76.35971223021583,-76.53452115812918,-74.47058823529412,-79.76348547717842,-77.30169491525423,-73.11111111111111,-77.58632478632478,-68.8358695652174,-68.32161874334399,-67.53838484546361,-58.62041884816754,-60.91286863270778,-61.98701298701299,-73.01117318435755,-63.22093023255814,-72.32981530343008,-72.23735955056179,-37.43453009503696,-76.12541254125412,-51.97975460122699,-77.76083188908146,-77.0,-74.72041420118343,-71.7247191011236,-72.91561712846348,-68.89807474518686,-75.8709122203098,-74.18040435458786,-74.24579124579125,-77.5585874799358,-66.39566395663957,-66.00422386483632,-80.17948717948718,-59.50803212851405,-59.26262626262626,-59.91382904794997,-63.11617900172117,-64.5088257866462
K009-4,-74.40439932318105,-89.13218390804597,-79.38051044083527,-78.2670349907919,-78.39102564102564,-81.79411764705883,-68.25395152792413,-75.61942675159236,-64.52529182879377,-68.58181818181818,-70.27027027027027,-68.37278761061947,-55.65965909090909,-73.53560830860535,-66.46603970741901,-68.2252358490566,-59.55074520936834,-67.3363329583802,-65.98289136013688,-36.609684947491246,-75.9186440677966,-52.36808236808237,-76.39763113367174,-77.1511111111111,-76.0,-70.58415841584159,-73.66623207301173,-73.61209439528024,-70.82171581769437,-68.78,-79.54564315352697,-69.48603351955308,-65.59149484536083,-67.59500542888165,-83.5125,-63.15675675675676,-62.1783295711061,-64.51544571932921,-65.58389261744966,-63.57948316366484
K010-1,-75.98039215686275,-83.38666666666667,-78.11669128508125,-78.61946902654867,-78.95238095238095,-82.72012578616352,-71.28739316239316,-83.48421052631579,-69.1573896353167,-70.20966183574879,-69.17263843648209,-77.18032786885246,-69.202216066482,-79.90528233151184,-65.75629569455727,-64.18029197080293,-58.54680977936792,-71.2110655737705,-80.05974842767296,-28.66490919742238,-75.20579710144928,-50.55891719745223,-88.0,-82.14893617021276,-76.24448897795591,-70.671875,-72.3595166163142,-79.28014184397163,-72.22348484848484,-72.39342403628117,-74.94663573085847,-66.31296449215525,-70.90795454545454,-70.84873949579831,-81.50403225806451,-72.44015444015444,-56.56352941176471,-69.9000999000999,-64.19058641975309,-62.380330123796426
K010-2,-77.28192771084338,-77.74306839186691,-83.00909090909092,-78.4382871536524,-77.38659793814433,-78.89772727272727,-82.728125,-78.17708333333333,-77.25199362041467,-70.06382978723404,-71.53567110036276,-71.02413431269675,-70.60529634300126,-66.83024118738405,-68.97936210131333,-64.93891213389121,-69.66395348837209,-59.96702557200538,-62.49767441860465,-34.45145364783324,-74.50530035335689,-49.88447867298578,-76.17785234899328,-78.73898305084745,-77.93037974683544,-71.5,-74.22238372093024,-84.95437262357414,-75.08695652173913,-72.58849557522124,-68.18388429752066,-69.181330472103,-62.38593866866118,-74.9738903394256,-74.20965517241379,-59.74700493305144,-57.842837273991655,-58.96064516129032,-62.05017667844523,-65.96358543417367
K010-3,-79.72244897959183,-80.38074398249454,-80.5440313111546,-79.20535714285714,-78.72277227722772,-78.26218487394958,-85.33962264150944,-78.80196399345336,-73.10082872928177,-74.08267716535433,-72.89733840304183,-69.72488262910798,-74.00244798041615,-69.87204724409449,-75.21052631578948,-66.49122807017544,-63.88556851311953,-58.35223880597015,-69.99903006789525,-34.57850779510022,-76.99552906110283,-46.48588490770901,-88.15957446808511,-77.168458781362,-77.1421568627451,-72.01760176017602,-72.25595984943538,-84.43103448275862,-73.9673202614379,-76.40610328638498,-69.19854280510019,-71.6489707475623,-65.97814207650273,-68.68720379146919,-77.83703703703704,-68.25490196078431,-72.59935897435898,-69.36690647482014,-62.88342165026495,-60.2655601659751
K010-4,-82.92651757188499,-81.70892018779342,-90.71028037383178,-77.56844106463879,-75.95121951219512,-84.54195804195804,-74.77724358974359,-74.8111753371869,-75.43417366946778,-76.3452380952381,-73.43832020997375,-73.21107266435986,-69.20833333333333,-65.81284403669724,-69.92224231464738,-65.38325652841782,-68.45833333333333,-61.95867208672087,-67.12734082397004,-47.85029617662897,-85.9609756097561,-50.83305036785512,-81.55825242718447,-80.34871794871795,-79.7518656716418,-74.76877234803338,-74.97943037974683,-77.65064102564102,-79.23168654173764,-74.80564784053156,-74.47649301143584,-70.02790697674419,-70.38014783526927,-75.27320261437909,-80.18852459016394,-66.91550522648083,-63.0413694721826,-60.90981432360743,-63.871757925072046,-59.54033771106942
K011-1,-73.11111111111111,-74.53233082706767,-67.58410732714138,-68.07174490699734,-67.99043977055449,-80.15732758620689,-68.21435406698565,-73.17050067658998,-70.93016759776536,-69.13142857142857,-75.79907264296754,-75.73002159827213,-74.8993710691824,-71.95833333333333,-77.25519848771266,-76.55424528301887,-78.1423076923077,-82.34986225895317,-82.12530712530713,-48.88526570048309,-63.695035460992905,-31.692943770672542,-62.56121726822364,-65.36569872958258,-61.59197786998617,-61.31969486823856,-65.6025641025641,-74.16031537450722,-67.08923375363725,-75.05705705705705,-79.16964285714286,-75.80363636363636,-72.27351664254704,-69.993993993994,-82.74545454545455,-78.08867924528302,-74.73479729729729,-77.92629482071713,-81.86842105263158,-77.60235294117648
K011-2,-71.46600742,-72.05696203,-70.8197556,-75.55138889,-72.4740566,-72.65144231,-74.13888889,-73.30051151,-84.04205607,-71.33370288,-76.89102564,-74.66362451,-78.77030162,-79.348,-78.45698925,-82.46461538,-81.37831858,-83.20363636,-83.35751295,-57.45566502,-60.43948655,-44.26938093,-76.61286089,-59.22164948,-75.69627507,-59.43433696,-77.47435897,-70.77666667,-69.03171008,-72.62406015,-73.7753304,-68.53207547,-76.97201493,-71.14220183,,-78.26829268,-79.98865784,-80.81122449,-76.64705882,-79.08644401
